Origin,WeekOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
MHT,11,6,1,1,4,0
BNA,15,6,5,0,1,0
CLL,50,6,0,6,0,0
MDW,12,6,6,0,0,0
TYR,9,6,0,6,0,0
LEX,13,6,4,0,2,0
SGF,27,6,2,1,3,0
AVP,51,6,1,4,1,0
IND,15,6,5,0,1,0
TRI,2,6,0,6,0,0
MDW,13,6,4,1,1,0
SBN,7,6,5,0,1,0
FSD,11,6,2,2,2,0
LBB,50,6,2,4,0,0
BNA,19,6,0,1,5,0
BTR,5,6,3,1,2,0
DBQ,6,6,0,4,2,0
ONT,24,6,4,2,0,0
SMF,44,6,2,0,4,0
BUF,0,6,4,0,2,0
SHV,8,6,4,1,1,0
ACT,9,6,0,6,0,0
LCH,36,6,0,6,0,0
TUS,6,6,2,3,1,0
CHA,8,6,4,1,1,0
ACT,11,6,1,5,0,0
PBI,52,6,2,4,0,0
PIT,10,6,5,1,0,0
TUL,49,6,3,2,1,0
CHA,2,6,0,4,2,0
PDX,21,6,5,1,0,0
WRG,5,6,1,5,0,0
BHM,23,6,1,5,0,0
GEG,0,6,4,2,0,0
SPI,8,6,3,0,3,0
SBN,1,6,1,0,5,0
HPN,14,6,3,1,2,0
GSO,8,6,4,0,2,0
ABE,7,6,3,2,1,0
CAK,7,6,2,3,1,0
OMA,28,6,5,0,1,0
COS,6,6,1,4,1,0
HSV,49,6,6,0,0,0
ICT,32,6,5,0,1,0
TVC,6,6,1,2,3,0
TUL,25,6,1,5,0,0
BGR,7,6,0,6,0,0
FLG,5,6,5,1,0,0
PIA,12,6,0,3,3,0
XNA,52,6,4,2,0,0
BGR,8,6,0,6,0,0
FLG,4,6,1,5,0,0
ANC,46,6,5,1,0,0
BTR,6,6,1,5,0,0
SDF,52,6,3,3,0,0
ROC,1,6,3,2,1,0
MKE,30,6,3,1,2,0
GSO,19,6,2,1,3,0
BGR,50,6,0,5,1,0
BIS,0,6,5,1,0,0
OMA,7,6,1,4,1,0
TYS,4,6,1,2,3,0
ORF,26,6,4,2,0,0
MHT,8,6,2,4,0,0
BTV,2,6,1,5,0,0
OMA,12,6,4,2,0,0
BHM,22,6,1,2,3,0
LAN,52,6,2,3,1,0
BHM,18,6,2,3,1,0
PVD,35,6,2,4,0,0
MSN,26,6,2,2,2,0
ISP,2,6,0,6,0,0
RST,12,6,2,2,2,0
OME,3,6,3,3,0,0
JNU,2,6,2,4,0,0
ROC,18,6,2,2,2,0
MOD,3,6,1,0,5,0
ICT,21,6,1,2,3,0
MLI,0,6,6,0,0,0
PDX,8,6,4,2,0,0
MOB,30,6,5,1,0,0
CMI,22,6,0,3,3,0
MDT,52,6,0,6,0,0
MIA,1,6,3,2,1,0
BNA,52,6,3,2,1,0
BUR,12,6,6,0,0,0
ONT,16,6,6,0,0,0
ASE,12,6,2,4,0,0
ELP,5,6,4,2,0,0
MCI,45,6,2,2,2,0
ABQ,17,6,5,0,1,0
MSY,52,6,4,1,1,0
CMH,48,6,5,1,0,0
EKO,4,6,1,5,0,0
MSN,25,6,3,1,2,0
BHM,49,6,3,2,1,0
SGF,1,6,2,1,3,0
CHA,3,6,1,3,2,0
MRY,50,6,2,2,2,0
ANC,6,6,3,3,0,0
AZO,26,6,1,3,2,0
FAT,1,6,2,2,2,0
LBB,3,6,0,6,0,0
RNO,4,6,1,1,4,0
MEM,38,6,6,0,0,0
LIT,8,6,5,0,1,0
CLE,37,6,3,2,1,0
PSP,50,6,1,5,0,0
GRB,7,6,4,1,1,0
BZN,50,6,5,0,1,0
LNK,2,6,3,0,3,0
PNS,7,6,5,1,0,0
RIC,0,6,6,0,0,0
ABE,1,6,6,0,0,0
SGF,2,6,2,3,1,0
DAY,32,6,1,0,5,0
DAY,52,6,4,2,0,0
JAX,1,6,3,3,0,0
CAE,38,6,5,0,1,0
LSE,6,6,1,3,2,0
MBS,3,6,2,0,4,0
JFK,15,6,5,1,0,0
AUS,15,6,3,3,0,0
MOB,3,6,2,3,1,0
ICT,25,6,3,3,0,0
IND,38,6,5,0,1,0
DBQ,11,6,0,5,1,0
BOI,47,6,0,6,0,0
PBI,24,6,2,4,0,0
TVC,1,6,1,3,2,0
COS,24,6,3,3,0,0
BTV,25,6,2,4,0,0
PWM,8,6,0,4,2,0
HSV,0,6,5,1,0,0
BFL,0,6,0,2,4,0
RSW,4,6,2,2,2,0
LAN,2,6,4,0,2,0
CWA,3,6,3,0,3,0
OKC,1,6,5,1,0,0
SJU,6,6,6,0,0,0
BMI,17,6,1,1,4,0
SJU,16,6,4,1,1,0
CAE,21,6,2,1,3,0
ANC,5,6,3,3,0,0
MSN,7,6,2,4,0,0
MDT,14,6,0,2,4,0
FNT,23,6,1,2,3,0
AZO,9,6,5,0,1,0
COS,1,6,4,2,0,0
FAR,3,6,3,0,3,0
LNK,6,6,1,0,5,0
CMH,19,6,2,1,3,0
AGS,7,6,3,1,2,0
LBB,36,6,0,6,0,0
BMI,16,6,1,1,4,0
AMA,4,6,1,3,2,0
FNT,0,6,4,2,0,0
SDF,13,6,2,1,3,0
ICT,24,6,4,1,1,0
FAI,51,5,0,5,0,0
ALO,51,5,3,2,0,0
CMH,49,5,5,0,0,0
MQT,50,5,1,4,0,0
VPS,51,5,0,3,2,0
GPT,51,5,2,3,0,0
MYR,51,5,4,0,1,0
RKS,51,5,0,5,0,0
LMT,51,5,0,5,0,0
GEG,49,5,1,4,0,0
CEC,48,5,0,3,2,0
PNS,51,5,2,2,1,0
OMA,49,5,2,2,1,0
COS,50,5,1,2,2,0
ACT,50,5,0,5,0,0
MAF,50,5,1,4,0,0
MLI,48,5,1,2,2,0
FNT,48,5,3,1,1,0
BNA,47,5,5,0,0,0
MSY,48,5,3,2,0,0
MBS,48,5,2,2,1,0
MSN,45,5,2,1,2,0
SGF,48,5,1,1,3,0
IND,47,5,4,1,0,0
MOB,51,5,4,0,1,0
MCI,44,5,3,0,2,0
AVL,45,5,0,2,3,0
CMH,45,5,1,3,1,0
CHS,48,5,2,2,1,0
SJC,47,5,3,1,1,0
TPA,46,5,5,0,0,0
SLC,45,5,3,2,0,0
IND,45,5,2,2,1,0
HRL,45,5,5,0,0,0
AUS,45,5,2,3,0,0
PVD,45,5,2,0,3,0
ABQ,44,5,5,0,0,0
MIA,40,5,5,0,0,0
ANC,48,5,0,5,0,0
PDX,43,5,3,1,1,0
SBA,43,5,0,3,2,0
RDU,41,5,5,0,0,0
HNL,39,5,5,0,0,0
ICT,41,5,4,1,0,0
IND,44,5,4,0,1,0
DTW,42,5,4,0,1,0
AUS,42,5,2,3,0,0
MDW,42,5,5,0,0,0
BWI,40,5,5,0,0,0
MDW,39,5,5,0,0,0
TXK,36,5,1,4,0,0
ROC,35,5,2,1,2,0
IAH,38,5,4,1,0,0
ACV,36,5,0,5,0,0
MSN,35,5,4,0,1,0
BDL,35,5,2,3,0,0
CAK,36,5,1,3,1,0
GSP,38,5,2,2,1,0
RDU,37,5,3,1,1,0
SNA,41,5,4,1,0,0
BUR,37,5,3,1,1,0
TUS,37,5,3,2,0,0
JAX,37,5,3,2,0,0
MCI,43,5,4,0,1,0
ROC,49,5,1,2,2,0
KTN,32,5,2,3,0,0
RST,31,5,1,1,3,0
SGF,33,5,3,0,2,0
HPN,32,5,1,4,0,0
FLL,37,5,3,2,0,0
GNV,33,5,0,4,1,0
MOB,34,5,2,1,2,0
SNA,39,5,5,0,0,0
PNS,34,5,0,1,4,0
OMA,33,5,5,0,0,0
SEA,34,5,5,0,0,0
BWI,34,5,5,0,0,0
BTV,31,5,0,5,0,0
TLH,34,5,1,1,3,0
SAV,34,5,3,0,2,0
MIA,46,5,4,0,1,0
OGG,31,5,5,0,0,0
FAT,31,5,5,0,0,0
ASE,31,5,2,2,1,0
TVC,31,5,0,0,5,0
BMI,31,5,0,2,3,0
MSY,31,5,0,4,1,0
MSN,32,5,3,0,2,0
MCI,32,5,0,1,4,0
ALB,32,5,1,1,3,0
CAE,32,5,1,0,4,0
GRR,32,5,2,3,0,0
SHV,31,5,3,2,0,0
ACK,31,5,0,4,1,0
ALB,30,5,1,3,1,0
HOU,34,5,3,2,0,0
DAL,34,5,3,2,0,0
SAN,33,5,4,0,1,0
JAN,33,5,0,2,3,0
BHM,33,5,2,3,0,0
ABQ,32,5,4,1,0,0
ANC,30,5,4,1,0,0
CHS,34,5,2,1,2,0
KTN,31,5,4,1,0,0
SGF,29,5,0,2,3,0
EVV,30,5,3,1,1,0
JAN,27,5,1,1,3,0
CHA,29,5,2,1,2,0
CID,29,5,1,0,4,0
PFN,27,5,1,0,4,0
DSM,28,5,4,1,0,0
MCO,44,5,3,1,1,0
VPS,11,5,1,4,0,0
PBI,30,5,1,4,0,0
BDL,28,5,3,1,1,0
MLI,30,5,4,0,1,0
DAY,16,5,1,3,1,0
FAT,11,5,3,2,0,0
MHT,13,5,1,0,4,0
KOA,28,5,5,0,0,0
MBS,28,5,2,2,1,0
JNU,35,5,0,5,0,0
BHM,28,5,4,0,1,0
COS,12,5,5,0,0,0
ORF,27,5,1,2,2,0
JAX,26,5,4,1,0,0
SAV,26,5,1,2,2,0
TUS,2,5,4,1,0,0
SHV,32,5,1,4,0,0
AUS,26,5,5,0,0,0
SJU,24,5,4,1,0,0
TOL,22,5,1,1,3,0
BTV,30,5,2,3,0,0
HPN,12,5,1,2,2,0
CWA,48,5,1,1,3,0
MSY,26,5,4,1,0,0
SJC,26,5,4,0,1,0
AZO,25,5,0,2,3,0
MRY,25,5,0,2,3,0
HPN,27,5,1,1,3,0
SBA,24,5,5,0,0,0
ASE,44,5,0,5,0,0
GRK,32,5,0,4,1,0
LEX,22,5,1,1,3,0
MLB,3,5,2,3,0,0
BTV,23,5,0,4,1,0
MHT,32,5,2,0,3,0
GRR,24,5,3,1,1,0
SHV,30,5,4,0,1,0
CWA,23,5,0,3,2,0
ALB,25,5,1,0,4,0
ROA,22,5,1,2,2,0
CHS,22,5,2,1,2,0
OGG,22,5,5,0,0,0
HNL,22,5,5,0,0,0
SBP,22,5,0,5,0,0
GRK,36,5,0,5,0,0
DAY,23,5,0,3,2,0
GRK,25,5,1,4,0,0
MSY,25,5,1,3,1,0
JAC,7,5,1,4,0,0
DAY,24,5,0,3,2,0
ISP,33,5,0,5,0,0
CAE,17,5,2,0,3,0
MHT,24,5,2,0,3,0
TUS,13,5,3,0,2,0
AVL,24,5,2,0,3,0
LIT,24,5,2,2,1,0
TUL,24,5,1,2,2,0
VPS,30,5,2,1,2,0
COS,15,5,4,1,0,0
ISP,24,5,5,0,0,0
HOU,23,5,4,1,0,0
HOU,22,5,5,0,0,0
MOB,29,5,3,1,1,0
EVV,18,5,2,1,2,0
CMI,21,5,1,1,3,0
BUF,39,5,4,1,0,0
GRK,18,5,3,2,0,0
BTR,18,5,1,3,1,0
LBB,18,5,2,3,0,0
MOB,24,5,2,3,0,0
BTR,21,5,3,2,0,0
MAF,3,5,1,4,0,0
JFK,20,5,5,0,0,0
RSW,6,5,0,3,2,0
MSY,21,5,3,2,0,0
HSV,21,5,2,2,1,0
MSP,20,5,5,0,0,0
GRR,17,5,1,2,2,0
SAT,32,5,3,1,1,0
ABQ,21,5,4,1,0,0
CAK,13,5,2,0,3,0
TWF,4,5,2,3,0,0
AZO,23,5,1,0,4,0
VPS,19,5,2,3,0,0
GRB,21,5,1,0,4,0
MAF,9,5,1,4,0,0
BTR,19,5,0,5,0,0
COS,18,5,1,3,1,0
HSV,18,5,3,1,1,0
GSP,8,5,3,1,1,0
OGG,18,5,5,0,0,0
HNL,18,5,5,0,0,0
FWA,18,5,1,0,4,0
SAV,18,5,2,2,1,0
MOB,18,5,2,2,1,0
CAK,12,5,2,1,2,0
BUF,18,5,2,1,2,0
MOB,19,5,0,5,0,0
CMH,21,5,1,1,3,0
ANC,21,5,4,1,0,0
RNO,20,5,5,0,0,0
AUS,20,5,4,0,1,0
LIT,41,5,2,2,1,0
SDF,25,5,2,2,1,0
JFK,47,5,4,0,1,0
HHH,2,5,0,5,0,0
AVL,32,5,3,0,2,0
MDW,18,5,4,0,1,0
AZO,29,5,5,0,0,0
ONT,18,5,5,0,0,0
FLL,17,5,3,0,2,0
ROC,28,5,4,0,1,0
DAY,17,5,4,0,1,0
OMA,17,5,2,1,2,0
ANC,7,5,2,3,0,0
MSP,15,5,5,0,0,0
HPN,15,5,1,0,4,0
LAN,8,5,1,0,4,0
FAR,14,5,2,1,2,0
BDL,14,5,4,1,0,0
HSV,26,5,3,1,1,0
BOI,29,5,5,0,0,0
LAN,50,5,2,2,1,0
SDF,16,5,2,2,1,0
CAK,11,5,3,1,1,0
ONT,25,5,2,2,1,0
SAV,17,5,0,1,4,0
HSV,17,5,4,0,1,0
GNV,2,5,1,4,0,0
DAB,13,5,1,1,3,0
PWM,50,5,0,5,0,0
ICT,1,5,3,0,2,0
TRI,27,5,2,0,3,0
HPN,28,5,4,0,1,0
HSV,16,5,3,1,1,0
SDF,30,5,2,0,3,0
SAV,16,5,2,1,2,0
BHM,16,5,3,0,2,0
IAH,28,5,5,0,0,0
SGF,24,5,3,1,1,0
SBA,15,5,1,3,1,0
HHH,33,5,3,2,0,0
MSN,28,5,4,0,1,0
ASE,24,5,3,1,1,0
MFE,9,5,1,4,0,0
MEM,20,5,5,0,0,0
MSN,24,5,2,1,2,0
IAH,15,5,1,3,1,0
BTV,13,5,1,1,3,0
BWI,20,5,5,0,0,0
ORF,17,5,0,2,3,0
BUF,14,5,2,0,3,0
HNL,15,5,5,0,0,0
ANC,15,5,5,0,0,0
ONT,17,5,4,0,1,0
JFK,41,5,4,1,0,0
MSY,15,5,4,1,0,0
FSD,16,5,2,2,1,0
SAT,15,5,5,0,0,0
RST,17,5,0,3,2,0
XNA,29,5,3,0,2,0
PBI,49,5,2,0,3,0
LEX,34,5,3,0,2,0
OME,13,5,1,4,0,0
SMF,41,5,4,1,0,0
COS,13,5,3,1,1,0
JAN,45,5,1,2,2,0
OGG,45,5,5,0,0,0
SAT,26,5,4,1,0,0
GSP,21,5,1,2,2,0
HNL,9,5,5,0,0,0
TPA,16,5,3,2,0,0
SHV,24,5,1,4,0,0
FLL,19,5,4,0,1,0
PVD,27,5,0,1,4,0
HDN,13,5,3,2,0,0
MYR,3,5,2,2,1,0
MRY,20,5,3,2,0,0
CHA,13,5,3,0,2,0
RNO,6,5,5,0,0,0
PIA,13,5,0,0,5,0
FLL,10,5,5,0,0,0
RNO,12,5,5,0,0,0
MLI,13,5,2,1,2,0
ROA,13,5,2,2,1,0
GRR,29,5,2,2,1,0
VPS,1,5,1,4,0,0
OME,4,5,1,4,0,0
AVL,31,5,1,0,4,0
AEX,9,5,1,4,0,0
ONT,19,5,5,0,0,0
CWA,16,5,3,0,2,0
LNK,11,5,0,1,4,0
PVD,33,5,1,4,0,0
COS,17,5,4,0,1,0
AMA,13,5,3,2,0,0
XNA,33,5,3,1,1,0
PSP,9,5,2,3,0,0
SMF,34,5,4,0,1,0
ORF,12,5,4,0,1,0
SGF,18,5,2,1,2,0
AZO,14,5,2,0,3,0
SAT,22,5,4,0,1,0
SBN,13,5,2,0,3,0
DSM,12,5,2,1,2,0
GSP,52,5,0,4,1,0
RIC,16,5,2,3,0,0
PDX,25,5,3,2,0,0
OGG,25,5,5,0,0,0
BTR,2,5,1,4,0,0
ASE,18,5,1,2,2,0
MDT,11,5,1,2,2,0
PBI,23,5,1,4,0,0
MSN,18,5,2,1,2,0
ONT,34,5,3,2,0,0
DAY,3,5,2,1,2,0
GRK,10,5,2,3,0,0
RIC,26,5,2,2,1,0
CHA,11,5,2,3,0,0
BUF,10,5,4,1,0,0
GRB,2,5,1,0,4,0
SAV,10,5,0,2,3,0
IND,43,5,3,0,2,0
TUL,7,5,2,3,0,0
PBI,11,5,3,2,0,0
AEX,11,5,2,3,0,0
SLC,41,5,3,2,0,0
SDF,8,5,2,0,3,0
XNA,10,5,3,2,0,0
CRP,11,5,0,5,0,0
SAV,1,5,1,2,2,0
SLC,20,5,5,0,0,0
SUN,17,5,0,5,0,0
PWM,13,5,0,0,5,0
BUR,25,5,4,0,1,0
KOA,51,5,2,3,0,0
SHV,29,5,5,0,0,0
PWM,11,5,1,1,3,0
SHV,27,5,3,0,2,0
OAK,26,5,5,0,0,0
LEX,10,5,1,1,3,0
FLG,6,5,3,2,0,0
EVV,14,5,2,0,3,0
HSV,10,5,2,1,2,0
ITO,2,5,5,0,0,0
JAN,13,5,2,3,0,0
EVV,13,5,2,1,2,0
ABQ,10,5,4,1,0,0
MDT,13,5,3,0,2,0
MYR,50,5,3,2,0,0
MIA,17,5,4,0,1,0
SDF,12,5,2,2,1,0
PHF,23,5,3,0,2,0
GRK,6,5,1,4,0,0
TYS,13,5,4,1,0,0
CMI,6,5,0,0,5,0
IAH,20,5,3,0,2,0
MHT,36,5,1,1,3,0
ACK,30,5,0,4,1,0
OAK,47,5,4,1,0,0
CMI,14,5,2,0,3,0
BNA,26,5,1,3,1,0
SPI,6,5,3,0,2,0
FNT,9,5,3,1,1,0
PHF,25,5,0,1,4,0
PIA,7,5,4,0,1,0
COS,27,5,4,1,0,0
CLD,0,5,4,0,1,0
CRW,51,5,1,2,2,0
LSE,11,5,1,4,0,0
ROA,49,5,1,3,1,0
ELP,7,5,4,1,0,0
DAB,7,5,2,2,1,0
SBA,8,5,0,5,0,0
EGE,8,5,2,3,0,0
DTW,39,5,4,0,1,0
IDA,8,5,0,5,0,0
MBS,8,5,2,0,3,0
LAW,3,5,1,4,0,0
MDW,29,5,2,2,1,0
ROA,7,5,3,2,0,0
TEX,1,5,0,3,2,0
ATW,48,5,1,1,3,0
MRY,11,5,1,3,1,0
MYR,6,5,3,2,0,0
MKE,45,5,1,1,3,0
ANC,28,5,3,2,0,0
ROA,5,5,1,3,1,0
PIA,27,5,1,2,2,0
PVD,8,5,2,2,1,0
MLI,22,5,0,2,3,0
RDU,47,5,3,2,0,0
SBP,3,5,0,0,5,0
TUL,32,5,2,2,1,0
MYR,31,5,3,2,0,0
LFT,6,5,1,4,0,0
PDX,32,5,5,0,0,0
OME,23,5,1,4,0,0
LFT,7,5,2,3,0,0
SHV,0,5,5,0,0,0
MOD,4,5,0,1,4,0
EVV,27,5,1,2,2,0
ABQ,0,5,4,1,0,0
MLI,36,5,1,1,3,0
TUL,29,5,5,0,0,0
SWF,6,5,0,5,0,0
AMA,6,5,3,2,0,0
PIA,15,5,5,0,0,0
OKC,52,5,3,2,0,0
OMA,10,5,4,0,1,0
PBI,3,5,2,3,0,0
TOL,4,5,0,2,3,0
OKC,21,5,2,3,0,0
SUN,8,5,0,5,0,0
LFT,4,5,0,5,0,0
HSV,52,5,3,2,0,0
PBI,4,5,3,2,0,0
OGG,1,5,5,0,0,0
CHA,5,5,0,5,0,0
COS,28,5,5,0,0,0
FWA,12,5,2,1,2,0
BTR,4,5,2,3,0,0
ISP,51,5,0,5,0,0
DLH,0,5,5,0,0,0
EVV,52,5,1,4,0,0
BHM,21,5,1,2,2,0
SGF,36,5,3,0,2,0
FAY,2,5,0,5,0,0
SWF,5,5,5,0,0,0
TLH,27,5,2,0,3,0
GRK,4,5,3,1,1,0
EVV,0,5,4,1,0,0
AVL,2,5,0,3,2,0
LFT,3,5,1,4,0,0
SJU,0,5,4,0,1,0
COS,25,5,2,3,0,0
ABQ,26,5,5,0,0,0
OMA,21,5,1,2,2,0
IAH,44,5,4,1,0,0
VPS,2,5,0,5,0,0
SPI,3,5,2,0,3,0
MLB,2,5,0,5,0,0
RDD,7,5,1,0,4,0
IAH,52,5,4,0,1,0
HNL,7,5,5,0,0,0
ICT,52,5,3,2,0,0
OGG,4,5,5,0,0,0
GUC,4,5,0,5,0,0
MDT,3,5,2,2,1,0
SBN,27,5,2,0,3,0
RSW,1,5,2,3,0,0
ROA,8,5,2,1,2,0
JNU,37,5,1,4,0,0
CHA,4,5,1,0,4,0
JAX,52,5,3,2,0,0
COS,3,5,2,2,1,0
ABI,3,5,0,5,0,0
SRQ,7,5,2,3,0,0
PIA,48,5,1,0,4,0
ABE,0,5,4,0,1,0
SJU,1,5,4,1,0,0
MLI,16,5,2,1,2,0
DBQ,0,5,1,4,0,0
PSP,27,5,4,0,1,0
BGR,2,5,1,4,0,0
JAX,21,5,3,2,0,0
BDL,33,5,3,2,0,0
GJT,22,5,5,0,0,0
RIC,45,5,0,2,3,0
PSP,6,5,3,1,1,0
PWM,14,5,1,1,3,0
FNT,4,5,0,0,5,0
ONT,2,5,0,5,0,0
PVD,0,5,3,2,0,0
TVC,2,5,1,2,2,0
ABE,2,5,1,2,2,0
SBA,7,5,2,0,3,0
MCO,39,5,5,0,0,0
EVV,1,5,2,0,3,0
YUM,23,5,5,0,0,0
LAN,1,5,3,1,1,0
FNT,3,5,2,1,2,0
ABE,11,5,3,0,2,0
SYR,52,5,2,3,0,0
ANC,27,5,5,0,0,0
MOB,4,5,2,3,0,0
PHL,40,5,5,0,0,0
ICT,19,5,3,1,1,0
MCI,52,5,3,1,1,0
FLL,8,5,2,3,0,0
MOB,2,5,1,4,0,0
ONT,31,5,3,2,0,0
HSV,24,5,4,1,0,0
DRO,5,5,1,2,2,0
RNO,9,5,1,4,0,0
FWA,7,5,4,0,1,0
SMF,22,5,2,1,2,0
ATW,31,5,2,0,3,0
RST,13,5,2,1,2,0
PSG,5,5,2,3,0,0
PDX,2,5,3,2,0,0
ICT,28,5,3,1,1,0
HSV,13,5,5,0,0,0
CHA,27,5,1,1,3,0
DRO,0,5,0,4,1,0
PIT,39,5,4,0,1,0
MSN,44,5,3,0,2,0
CID,12,5,0,1,4,0
SJU,2,5,3,2,0,0
HOU,15,5,4,1,0,0
MFR,1,5,2,2,1,0
DAY,28,5,2,0,3,0
OKC,17,5,3,0,2,0
LBB,7,5,2,3,0,0
SAV,0,5,4,0,1,0
SBP,8,5,3,1,1,0
CMH,33,5,0,5,0,0
FAT,3,5,2,0,3,0
SBA,29,5,2,0,3,0
LIT,37,5,1,2,2,0
PSG,51,4,1,3,0,0
EVV,50,4,1,2,1,0
FSM,51,4,3,1,0,0
TXK,50,4,1,3,0,0
PHF,51,4,1,0,3,0
TLH,51,4,2,0,2,0
KOA,49,4,4,0,0,0
LNK,51,4,1,3,0,0
RAP,51,4,3,1,0,0
PDX,49,4,3,1,0,0
FAT,50,4,0,4,0,0
MFR,50,4,0,2,2,0
JAC,50,4,2,1,1,0
HLN,50,4,2,2,0,0
TEX,51,4,0,2,2,0
FLG,51,4,1,3,0,0
TVC,50,4,1,2,1,0
SBA,50,4,1,1,2,0
SBN,49,4,3,0,1,0
MDT,48,4,4,0,0,0
SPI,48,4,1,1,2,0
IAH,48,4,1,3,0,0
MDW,52,4,1,3,0,0
ELP,50,4,1,3,0,0
PIA,49,4,0,2,2,0
TPA,48,4,4,0,0,0
FLL,48,4,2,2,0,0
ERI,46,4,2,1,1,0
RST,48,4,1,1,2,0
RST,45,4,1,3,0,0
EVV,44,4,3,0,1,0
PHF,45,4,3,0,1,0
SNA,45,4,3,1,0,0
BDL,47,4,4,0,0,0
HNL,44,4,4,0,0,0
TVC,46,4,0,4,0,0
TUL,45,4,3,0,1,0
FAT,44,4,3,0,1,0
GEG,44,4,0,3,1,0
MFR,47,4,0,4,0,0
SBA,44,4,2,0,2,0
ROA,48,4,1,3,0,0
LIH,47,4,4,0,0,0
CLE,46,4,4,0,0,0
KOA,46,4,3,1,0,0
KOA,45,4,4,0,0,0
CWA,45,4,0,3,1,0
ATW,45,4,3,0,1,0
BNA,44,4,2,0,2,0
DAY,45,4,3,0,1,0
BUF,45,4,2,1,1,0
HSV,50,4,3,1,0,0
SMF,47,4,3,0,1,0
BHM,46,4,4,0,0,0
AUS,46,4,3,1,0,0
MSY,45,4,1,1,2,0
ABQ,45,4,4,0,0,0
BUR,45,4,4,0,0,0
DSM,41,4,3,0,1,0
BDL,43,4,3,0,1,0
MSP,40,4,3,0,1,0
GRR,43,4,2,0,2,0
RSW,52,4,1,3,0,0
SLC,42,4,3,1,0,0
PIT,42,4,1,2,1,0
CVG,42,4,3,1,0,0
GSP,43,4,3,1,0,0
KTN,48,4,0,4,0,0
ICT,42,4,3,1,0,0
LMT,48,4,0,4,0,0
BNA,43,4,2,0,2,0
SAV,43,4,3,0,1,0
GSO,43,4,1,2,1,0
MHT,43,4,2,0,2,0
SAT,42,4,4,0,0,0
ONT,42,4,4,0,0,0
MCI,42,4,3,0,1,0
FWA,48,4,1,1,2,0
BUR,42,4,4,0,0,0
RDU,40,4,4,0,0,0
BUR,40,4,4,0,0,0
HPN,35,4,0,4,0,0
SJU,36,4,1,3,0,0
ANC,37,4,3,1,0,0
RST,36,4,1,2,1,0
MSN,37,4,1,3,0,0
EYW,36,4,0,4,0,0
PHF,35,4,0,4,0,0
PIT,37,4,4,0,0,0
ACV,38,4,0,4,0,0
HNL,35,4,4,0,0,0
MSP,39,4,3,0,1,0
IND,35,4,2,0,2,0
ICT,35,4,2,0,2,0
STL,44,4,2,0,2,0
SMX,35,4,1,3,0,0
FWA,37,4,1,3,0,0
SBN,36,4,1,0,3,0
ACT,36,4,0,4,0,0
CRW,36,4,0,4,0,0
GSP,37,4,1,3,0,0
MTJ,36,4,1,3,0,0
LFT,37,4,0,4,0,0
MLU,36,4,0,4,0,0
CLL,36,4,0,4,0,0
PDX,39,4,4,0,0,0
BDL,39,4,4,0,0,0
SLC,38,4,2,2,0,0
SEA,38,4,4,0,0,0
TPA,38,4,3,1,0,0
PVD,38,4,3,0,1,0
BUF,38,4,1,2,1,0
PIT,38,4,1,0,3,0
CAE,44,4,3,0,1,0
BUR,38,4,4,0,0,0
OGG,38,4,4,0,0,0
LGB,31,4,3,1,0,0
ROC,43,4,3,0,1,0
FAI,32,4,3,1,0,0
SHV,45,4,2,2,0,0
JNU,31,4,4,0,0,0
GRR,35,4,3,0,1,0
MLU,50,4,0,4,0,0
LRD,36,4,0,3,1,0
CID,33,4,1,1,2,0
SHV,34,4,3,0,1,0
LAW,32,4,2,2,0,0
SGF,32,4,2,1,1,0
EVV,31,4,0,2,2,0
XNA,34,4,3,0,1,0
COS,34,4,3,1,0,0
AZO,31,4,0,1,3,0
CMI,48,4,0,1,3,0
CID,32,4,3,0,1,0
LIH,34,4,4,0,0,0
MLI,31,4,1,1,2,0
LFT,33,4,0,2,2,0
SHV,33,4,1,1,2,0
MOB,33,4,0,3,1,0
COS,32,4,0,3,1,0
TUL,31,4,0,4,0,0
KOA,50,4,4,0,0,0
JAX,34,4,2,0,2,0
DAL,33,4,1,2,1,0
MCI,33,4,1,3,0,0
AMA,32,4,2,2,0,0
SWF,30,4,0,4,0,0
GRB,28,4,2,1,1,0
CMI,27,4,0,2,2,0
CMI,29,4,2,2,0,0
GRK,30,4,4,0,0,0
BTR,27,4,2,0,2,0
OTZ,7,4,2,2,0,0
AZO,7,4,3,0,1,0
BMI,27,4,0,1,3,0
PHF,30,4,3,0,1,0
FLG,3,4,3,1,0,0
AVL,30,4,0,0,4,0
GPT,27,4,1,1,2,0
JAX,28,4,3,0,1,0
MYR,29,4,2,1,1,0
SRQ,29,4,1,3,0,0
SRQ,27,4,1,3,0,0
COS,7,4,4,0,0,0
PDX,26,4,4,0,0,0
PWM,30,4,1,3,0,0
LAW,23,4,2,2,0,0
SNA,40,4,4,0,0,0
LAN,28,4,2,1,1,0
LIH,2,4,4,0,0,0
CID,28,4,2,1,1,0
LGB,27,4,2,1,1,0
DRO,27,4,3,0,1,0
TVC,26,4,1,0,3,0
ASE,47,4,0,4,0,0
CAE,28,4,3,0,1,0
ELP,15,4,4,0,0,0
MDW,28,4,4,0,0,0
HNL,38,4,4,0,0,0
LIT,30,4,1,0,3,0
OMA,26,4,2,0,2,0
ONT,30,4,4,0,0,0
