Origin,DayOfYear,cancelledTotal,cancelledCarrier,cancelledWeather,cancelledNAS,cancelledSecurity
ORD,36,635,36,480,119,0
DFW,77,565,14,546,5,0
IAH,257,470,4,455,11,0
ORD,80,402,28,257,117,0
DFW,65,397,11,386,0,0
ORD,34,389,16,170,203,0
ATL,18,383,9,365,9,0
ORD,216,371,19,196,156,0
IAH,256,343,2,337,4,0
DFW,99,338,328,10,0,0
ORD,30,330,33,48,249,0
DFW,100,324,301,21,2,0
IAH,255,305,1,302,2,0
ORD,159,287,8,181,98,0
ORD,358,282,9,69,204,0
ORD,42,280,18,72,190,0
ORD,31,269,15,103,151,0
ATL,194,265,47,88,130,0
EWR,52,264,5,251,8,0
ORD,28,261,27,61,173,0
ORD,361,256,7,165,84,0
ORD,90,254,6,22,226,0
ORD,47,249,14,61,174,0
ORD,115,236,14,115,107,0
LAS,352,234,4,223,7,0
IAH,77,229,10,199,20,0
ATL,15,222,22,193,7,0
MDW,34,217,2,215,0,0
ORD,100,209,124,13,72,0
ORD,56,204,6,91,107,0
ORD,354,204,10,169,25,0
DFW,147,199,5,162,32,0
LGA,52,198,2,172,24,0
ORD,351,197,20,108,69,0
ORD,122,195,16,87,92,0
DFW,98,189,188,1,0,0
ORD,35,185,27,129,29,0
EWR,354,184,2,173,9,0
IAH,217,178,2,175,1,0
ORD,99,178,172,5,1,0
ORD,55,178,5,15,158,0
DFW,101,177,177,0,0,0
SEA,356,176,11,158,7,0
ORD,27,172,31,6,135,0
BOS,13,168,28,140,0,0
ORD,33,158,29,57,72,0
MDW,36,152,8,144,0,0
HOU,258,150,0,150,0,0
JFK,52,147,3,134,10,0
ORD,86,145,32,54,59,0
ORD,157,145,19,6,120,0
ORD,5,145,12,69,64,0
ORD,365,143,40,70,33,0
ORD,6,142,24,53,65,0
ORD,335,141,3,50,88,0
BOS,52,140,4,129,7,0
HOU,257,140,4,136,0,0
JFK,208,138,6,108,24,0
ORD,16,136,17,9,110,0
ORD,356,136,25,107,4,0
ATL,16,135,7,125,3,0
ORD,150,134,17,7,110,0
CLE,67,133,0,128,5,0
ORD,22,132,22,5,105,0
IAH,258,131,8,118,5,0
SFO,3,131,20,71,40,0
ORD,362,129,3,83,43,0
PDX,356,129,3,121,5,0
BOS,356,129,2,97,30,0
HOU,255,128,1,127,0,0
DFW,62,125,7,116,2,0
LGA,354,123,5,102,16,0
ORD,164,121,7,39,75,0
ATL,67,120,13,72,35,0
LGA,204,119,21,32,66,0
ORD,101,118,94,8,16,0
ORD,131,118,17,4,97,0
ORD,98,118,67,6,45,0
ATL,21,117,2,113,2,0
EWR,204,116,13,31,72,0
ATL,361,116,12,37,67,0
